company,venue,zone,booth_no,brand,products,registered
CLS INDUSTRY INC.,TWTC Hall 1,TechXperience,A1321a,百科大,Other Computer Peripherals,2026-03
CMC Magnetics Corporation,TaiNEX 2,Storage & Management Solutions,R0814a,,"Hard Disk Drive (HDD),Solid State Drive (SSD),USB Flash Drive,Memory Card,Optical Disc,Other Drives, Storage & Blank Media",2026-03
"COAGRIFY INTERNATIONAL TRADING CO., LTD.",TaiNEX 1,Components & Advanced Power Tech,I0502,,"Embedded Products,Solid State Drive (SSD),Graphics Card,Printer,Other Computer Peripherals",2026-03
CodeTrace,,,,,,2026-03
"Cofan Electronic Co., Ltd",TWTC Hall 1,TechXperience,A1207a,,"Heat Sink & Pipe,PC Cooling & Fan",2026-03
Coherence Biotech Co. Ltd.,TaiNEX 2,InnoVEX,S0311a,Coherence Biotech Co. Ltd.,,2026-03
Coil Technology Corporation,TWTC Hall 1,TechXperience,D0732,,"Switching Power Supply,Power Converter",2026-03
COMINO,TaiNEX 1,AI Computing & Tech,J0532,,AI Server,
"Compal electronics, inc.",TaiNEX 1,System Integration Solution,M0804,Compal,"Server,Laptop Computer,Connectivity Devices,Auto Electronics,Smart Medical Solutions",
Compertum Microsystems lnc,TaiNEX 2,InnoVEX,S0926,,,
"COMPUCASE Enterprise Co., Ltd.",TaiNEX 1,Gaming,M1101a,"COUGAR,HEC","Switching Power Supply,Computer Case,PC Cooling & Fan,PC Keyboard,Mouse",2026-03
COMPUTEX,,,,,Other,2026-03
COMPUTEX TAIPEI,,,,,0,2026-03
Compuware Technology Inc.,TWTC Hall 1,TechXperience,D0617a,"CPW,supermicro,COMPUWARE",,
"Conde Nast Digital Taiwan Co., Ltd.",TaiNEX 1,System Integration Solution,M1417c,,Others,2026-03
Connection Technology Systems Inc.,TaiNEX 1,Advanced Communication & Networking,K1305,CTS,Network Switch,
ConnectX Co Ltd,TaiNEX 2,InnoVEX,S1004,,"Consumer Tech,Digital Transformation / Generative AI",2026-03
Constellation Intelligence Technology,TaiNEX 2,InnoVEX,S0923,,,2026-03
CONSUSS CORPORATION,TaiNEX 1,International,N1325,Consuss,"Liquid Cooling System,AI Air Cooling / Liquid Cooling System",
Continental,TaiNEX 1,AI Computing & Tech,J1327,,AI Air Cooling / Liquid Cooling System,
ConZen.ai,TaiNEX 2,InnoVEX,S0323a,,,2026-03
Copartner Tech Corp.,TaiNEX 1,Advanced Communication & Networking,K1301,,"Automated & Industrial Controller Module,Communication Cable,Embedded Products,Computer Cables & Connectors,USB Adapter, Cable & Hub",
CORETECH Co. |LTD,TaiNEX 2,InnoVEX,S1013,,,2026-03
COSMOS LAB,TaiNEX 2,InnoVEX,S0304,,,2026-03
"CreAlien Co., Ltd.",TaiNEX 2,InnoVEX,S0304,"CreAlien, Vaporcool","AI Air Cooling / Liquid Cooling System,DI Water 2 Phase Cooling System,Liquid Cooling System",
"CREATING CLOUD TECHNOLOGY CO., LTD",TWTC Hall 1,TechXperience,A1208,"WinNexus,WinVans",Server,
"Crosscosmos Co,.Ltd.",,,,"Crosscosmos Co,.Ltd.",,2026-03
CSA Group Taiwan,TaiNEX 1,International,N0526,,AI Air Cooling / Liquid Cooling System,
"CTC Union Technologies Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K1207,CTC Union,Network Switch,
CTIMES,TWTC Hall 1,Media,A0115,,,2026-03
"CTK CONTACT ELECTRONICS CO., LTD",TaiNEX 1,Advanced Communication & Networking,K1227,CTK,"Plug,Electrical Connectors,Computer Cables & Connectors,Other Networking,Other Automobile Electronics,Surveillance Accessories",
Cupola360 Inc.,TaiNEX 2,InnoVEX,S0512,,,2026-03
"Cyber Energy Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1109,,Uninterruptible Power Supply (UPS),2026-03
CyberMedia Communications Inc.,TaiNEX 2,Consumer Electronic Accessories,Q0518,GAMEMAX,"Computer Case,Computer Power Supply,PC Cooling & Fan",2026-03
"CYUN HONG Enterprise Co., Ltd.",TWTC Hall 1,TechXperience,D0820,,Other Computer Components & Parts,2026-03
CzechInvest: Investment and Business Development Agency,TaiNEX 2,InnoVEX,S0224,,,2026-03
Daegu-Gyeongbuk Free Economic Zone,TaiNEX 2,InnoVEX,S0203a,,,2026-03
DAHUI TECH LIMITED LIABILITY COMPANY,TaiNEX 2,Intelligent Business Solutions,P0802c,Double-G,"LCD Display Module,LCD Monitor,LED Display & Monitor",
"Damo (Shanghai) Technology Co., Ltd.",TaiNEX 1,System Integration Solution,M1111a,XuanTie,"IC Design, Packaging & Foundry",2026-03
"DAN-CHIEF TECHNOLOGY CO., LTD.",TWTC Hall 1,Robotics,D0404,"DCT,Dan-Chief Technology,登騏科技股份有限公司",,2026-03
Danfoss Power Solutions,TaiNEX 1,AI Computing & Tech,J1227a,"Danfoss Hansen®, Boston by Danfoss Royal™",AI Air Cooling / Liquid Cooling System,
DaoAI,TaiNEX 2,InnoVEX,S0506,,,2026-03
DapuStor PTE. LTD.,TaiNEX 2,InnoVEX,S1411,,,
"Darkflash Infotech Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0524,darkFlash,PC Cooling & Fan,2026-03
"Darveen Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,P0814,Darveen,Industrial Computer,
Dassault Systèmes,TaiNEX 2,InnoVEX,S1216,Dassault Systemes,"AI & Big Data,Generative AI",
Data-DI Solutions,TaiNEX 2,InnoVEX,S0008,,,2026-03
Datotek International,TaiNEX 1,Components & Advanced Power Tech,I1124,"Datotek,Dato,ARES",DRAM,
Daviundler,TaiNEX 2,InnoVEX,S0209a,,,2026-03
"DEE VAN ENTERPRISE CO.,LTD.",TWTC Hall 1,Robotics,A0807a,,AC / DC Adapter,2026-03
"Deeli AI, Inc",TaiNEX 2,InnoVEX,S0712a,,,2026-03
"DEEMMI PET CO., LTD.",TaiNEX 2,InnoVEX,S1004,,"IoT,Generative AI",2026-03
DeepComputing,TaiNEX 1,System Integration Solution,M1111a,,,2026-03
DeepCool,TaiNEX 1,Components & Advanced Power Tech,I1211a,",,",Heat Sink & Pipe,2026-03
DeepRad.AI,TaiNEX 2,InnoVEX,S0727,,,2026-03
DEEPX,TaiNEX 1,System Integration Solution,M1311a,,Embedded Processor,
Dell Technologies,TaiNEX 1,International,N1231,Dell,"LED,Tablet PC,Head & Bluetooth Earphone,Headset,Computer Lock,Touch Screen Monitor & Panel,Printer,Computer Cables & Connectors",2026-03
Delos Data,TaiNEX 1,AI Computing & Tech,J1328,,"Application Software,AI Server ,Open Source Hardware & Software",
"Delta Electronics, Inc.",TaiNEX 1,System Integration Solution,L0601a,"Delta,Innergie,Vivitek",Others,
"departure international Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,P1425,departure旅行趣,Laptop Bag,
Dexmart Technology Corporation,TWTC Hall 1,Robotics,A0913a,,"Motor Controller,Motor Drive / Inverter",
"Dianfeng Cooling Technology Co., Ltd.",TWTC Hall 1,TechXperience,A0340,Polar Project,PC Cooling & Fan,2026-03
Diden Robotics,,,,,,2026-03
Digisine Energytech Co. | Ltd.,TaiNEX 2,InnoVEX,S1208,,,2026-03
DIGITIMES inc.,TWTC Hall 1,Media,A0121,,Media,2026-03
Dintek Electronic Ltd.,TaiNEX 1,Advanced Communication & Networking,K0227a,DINTEK,Communication Cable,2026-03
DKE (Longning) Company Limited,TWTC Hall 1,ePaper Pavilion,D0511a,東方科脈,E-paper Display,2026-03
"DLI MEMORY, INC.",TWTC Hall 1,TechXperience,D0721a,,Solid State Drive (SSD),2026-03
"Dong Guan Ming Wang Electronic Co., LTD",TaiNEX 1,Components & Advanced Power Tech,I0501,,AI PC Cooling & Fan,2026-03
"Dongguan Aimax Innovation Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1312a,,"PC Keyboard,Mouse,Gaming Mouse ,Gaming Keyboard",2026-03
"Dongguan Baoye Optical Co., Ltd",TaiNEX 2,InnoVEX,S0704a,,"5G & Communication,Edge AI",
"DONGGUAN CITY HANSHUO PLASTIC CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0133,,"PC Cooling & Fan,Other Computer Components & Parts,Liquid Cooling System ,AI Air Cooling / Liquid Cooling System ,AI PC Cooling & Fan",2026-03
"Dongguan City Kaihua Electronics Co., Ltd.",TWTC Hall 1,TechXperience,A0220,,"Other Computer Components & Parts,Other Computer Peripherals,Gaming Accessories",2026-03
Dongguan Couso Technology Co.LTD.,TaiNEX 2,Consumer Electronic Accessories,P1329,,"PC Keyboard,Mouse",2026-03
"Dongguan Dongsong Smartlink Technology Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0933a,,"AC / DC Adapter,GaN/SiC USB Charger",2026-03
"Dongguan Eontec Co., Ltd.",TaiNEX 1,International,N1226,EONTEC,Other Computer Components & Parts,2026-03
"Dongguan EWIN Technology Co., Ltd",TaiNEX 1,International,N0222,EWIN,"Computer Case,PC Cooling & Fan,Disk Enclosure",2026-03
"Dongguan FL.Esports Electronics Co., Ltd.",TaiNEX 1,Gaming,L1305,FL ESPORTS,"Gaming Mouse,Gaming Keyboard",2026-03
"Dongguan Gaote Electronic Co , Ltd",TaiNEX 1,International,N0632,,"Mouse,Bluetooth Keyboard & Mouse,Keycap",
"Dongguan Huaming Teng Technology Co., Ltd",TaiNEX 1,International,N1320,,Laptop Computer,2026-03
"DONGGUAN IPRODA TECHNOLOGY CO., LTD",TaiNEX 2,Consumer Electronic Accessories,Q1210,,"Tablet PC,Laptop Computer",2026-03
"Dongguan Jimfuk Smart Glass Co., Ltd.",TWTC Hall 1,TechXperience,A0407,,Gaming Accessories,2026-03
"Dongguan Juyun Hardware Technology Co., Ltd",TaiNEX 1,Components & Advanced Power Tech,I1101a,,"Heat Sink & Pipe,PC Cooling & Fan,Heat Dissipation Material",
"Dongguan Kinghal Electronic Technology Co.,Ltd",TaiNEX 2,InnoVEX,S1407,,"Gaming&Entertainment,B5G &6G",2026-03
"Dongguan Padmat Rubber Co., Ltd",TaiNEX 2,Consumer Electronic Accessories,Q0109,PADMAT,Other Computer Peripherals,2026-03
"Dongguan Qinghai Electronics Technology Co., Ltd.",TaiNEX 1,Gaming,L0020,,"PC Cooling & Fan,Other Add-On & Interface Cards,Gaming Accessories",2026-03
"Dongguan Qiyou Photoelectric co.,ltd",TaiNEX 1,Advanced Communication & Networking,K1229a,Qiyou,"Other Computer Components & Parts,Network Adapter / Network Interface Card (NIC),Wireless WAN Dongle/Module",
"Dongguan Ruiheng Electronic Technology Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I0028,MHD 瑞亨,"AC / DC Adapter,Computer Power Supply,Fast Charging Technology",2026-03
"Dongguan Sibositong Industrial Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0223a,"JONSBO, JONSPLUS","Heat Sink & Pipe,Computer Case,PC Cooling & Fan,Other Computer Components & Parts,Liquid Cooling System",2026-03
Dongguan Soeyi Technology Limited,TaiNEX 1,International,N1223,,"Computer Case,PC Cooling & Fan,Other Computer Components & Parts",
"DONGGUAN SUOAI ELECTRONICS CO.,LTD",TaiNEX 1,International,N1030,,"PC Keyboard,Mouse,Other Computer Peripherals",2026-03
"DongGuan Togran Electronics Technology Co.,Ltd",TaiNEX 1,Gaming,L0013,Togran,"Gaming Headphone & Headset & Microphone,Gaming Mouse ,Gaming Keyboard ,Keycap",2026-03
"DONGGUAN V-LINK DISPLAY TECHNOLOGY CO., LTD",TaiNEX 2,InnoVEX,S1409,,Consumer Tech,2026-03
"Dongguan World Pass Industrial Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0134a,,"USB Adapter, Cable & Hub,Bluetooth Adapter & Receiver",2026-03
"Dongguan Xunling New Technology Co., LTD",TaiNEX 1,AI Computing & Tech,J0234,,AI Air Cooling / Liquid Cooling System,2026-03
"Double Max International Co., Ltd.",TaiNEX 1,System Integration Solution,N1224,,"Computer Cables & Connectors,USB Adapter, Cable & Hub,IP Phone",
Dracula Technologies,TaiNEX 2,InnoVEX,S1216,Dracula,"Green Tech / ESG,Sustainability",
Dronetag,TaiNEX 2,InnoVEX,S0224,,"Infrastructure & Hardware,Generative AI & LLM",2026-03
"DS International Enterprise Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,P0226,,Other Mobile Phone & Tablet PC Accessories,2026-03
DTG NEO SCIENTIFIC LIMITED,TaiNEX 2,Storage & Management Solutions,R0307,"OCPC GAMING,FC Barcelona,Manchester City","Handheld Bag & Case,Computer Power Supply,PC Cooling & Fan,Solid State Drive (SSD),DRAM,PC Keyboard",2026-03
Dynatron Corporation,TaiNEX 1,AI Computing & Tech,J1230,"Top Motor,DYNATRON,Coolify","PC Cooling & Fan,Other Computer Peripherals",2026-03
E Ink Holdings Inc.,TWTC Hall 1,ePaper Pavilion,D0101,,E-book Reader,
E-Century Technical & Industrial Corporation,TaiNEX 2,Consumer Electronic Accessories,Q0809,E-Century,Other Computer Peripherals,
"E-CONN. ELECTRONIC CO., LTD.",TaiNEX 1,Advanced Communication & Networking,K1329,,"Sensors,Computer Power Supply,Other Computer Components & Parts,Computer Cables & Connectors",
EA-HWA ENTERPRISE INDUSTRIAL CO LTD,TaiNEX 2,Consumer Electronic Accessories,Q1010,EA-HWA,"Computer Case,PC Cooling & Fan,Other Computer Peripherals,Server rack,OCP Orv3 Rack,Heavy-duty server rack with electronic lock,19” Network Cabinets",2026-03
Eagle Wireless,TaiNEX 2,Industrial IoT & Embedded Systems,P0930,,"Wireless WAN Dongle/Module,Telematics,5G/5G-A/6G Related Products ,Edge Computing,System Integration,Automobile Software",
Earth Information Technology,,,,Earth Information Technology,,2026-03
Eastern Global Corporation,TaiNEX 2,Consumer Electronic Accessories,Q0229a,Eastern Global,TV Mount,
"eCloudEdge Digital Innovation Co., LTD.",TaiNEX 2,InnoVEX,S0311a,"eCloudEdge Digital Innovation Co., LTD.",,2026-03
Ecolab Limited,TaiNEX 2,AI Computing & System Integration Solution,R0125,"Ecolab,Nalco Water",,
"EDAC POWER ELECTRONICS CO., LTD.",TaiNEX 1,Components & Advanced Power Tech,I0325a,"EDAC,EDAC POWER",Switching Power Supply,
Edgecore Networks Corporation,TaiNEX 1,Advanced Communication & Networking,K1309,Edgecore Networks,Server,
EdgeCortix,TaiNEX 2,InnoVEX,S0409a,,,2026-03
EEChain Optronics Corp,TaiNEX 2,Consumer Electronic Accessories,Q1333a,,Touch Screen Monitor & Panel,
EET/EDN,TWTC Hall 1,Media,A0113,,,
Egis Technology Inc.,TaiNEX 2,AI Computing & System Integration Solution,R0826,Egis,"IC Design, Packaging & Foundry",2026-03
ELAN Microelectronics Corp.,TaiNEX 1,Smart Mobility and Drone Tech,N0824,"ELAN,eFinger®,Smart-Touchscreen™","Touch Panel IC,Smart Wearable Device,E-book Reader,ADAS (Advanced Driver Assistance System),Air Drone,CCTV Camera,Biometircs System",2026-03
ELAN Microelectronics Corp.,TWTC Hall 1,ePaper Pavilion,D0225a,"ELAN,eFinger",E-book Reader,2026-03
Elematec Corporation,TaiNEX 1,Smart Mobility and Drone Tech,N0814,,Other Motorcycle Electrical Parts,2026-03
Eleventh Fleet Pte. Ltd.,TaiNEX 2,InnoVEX,S0002,,Other,2026-03
Elite Semiconductor Microelectronics Technology Inc.,TaiNEX 1,Smart Mobility and Drone Tech,N0814,,Other Automobile Electronics,2026-03
"ELITEGROUP COMPUTER SYSTEMS CO., LTD.",TaiNEX 1,AI Computing & Tech,J1317a,"ECS,LIVA","Mini PC Barebone,Laptop Computer,PC Motherboard",2026-03
"Ellis Technologies, Inc.",TaiNEX 2,InnoVEX,S0712a,,,2026-03
Ellynt AI,TaiNEX 2,InnoVEX,S0904a,,,
"ELSA Optronics Technology(ShenZhen) Co., Ltd",TaiNEX 1,International,N0413a,ELSA,LCD Monitor,2026-03
EM Microelectronic,TaiNEX 1,International,N0025,EM Microelectronic,"System on Chip(SOC),IC Design, Packaging & Foundry,LCD Display Module,Touch Screen Monitor & Panel,Bluetooth Adapter & Receiver,Radio Frequency Identification (RFID) ,Electronic Shelf Label (ESL)",
EmCom Technology Inc.,TaiNEX 1,Advanced Communication & Networking,K1016,EmCom,Other Networking,2026-03
"Emdoor Digital Technology Co., Ltd.",TaiNEX 1,System Integration Solution,M0419a,EMDOOR,"Tablet PC,Laptop Computer",2026-03
Emerson,TaiNEX 1,System Integration Solution,M1233a,Emerson,Data Capturing & Identification / Supervisory Control & Data Acquisition (SCADA),
EMMONS INDUSTRIAL LIMITED,TaiNEX 2,InnoVEX,S1310,,,
"Emplus Technologies, Inc.",TaiNEX 1,System Integration Solution,L0402,,"Power Converter,Industrial Computer,Wireless AP / Bridge,Network Switch",2026-03
Emtar Technologies Inc.,TaiNEX 2,InnoVEX,S0506,,,2026-03
"ENBIK TECHNOLOGY CO., LTD.",TaiNEX 1,AI Computing & Tech,J1128,ENBIK,"Industrial Computer,Embedded Products,Graphics Card",2026-03
EndoSemio Co. | Ltd.,TaiNEX 2,InnoVEX,S0323a,,,2026-03
ENERMAX Technology Corporation,TaiNEX 1,Components & Advanced Power Tech,I1317,ENERMAX,"Computer Case,Computer Power Supply,PC Cooling & Fan,Other Computer Components & Parts",2026-03
eNeural Technologies | Inc.,TaiNEX 2,InnoVEX,S0923,,,2026-03
Enghouse System,TaiNEX 1,International,N0526,"Enghouse Interactive,Enghouse Video,Aculab","Live Streaming Solutions,Business & Office Software,Natural Language Processing Service/ Device,Deep Learning Service / Device,IP Phone,Videophone,Biometircs System,IT & Internet Services",
EngineStar Technology Inc.,TaiNEX 2,Storage & Management Solutions,R1231,,Solid State Drive (SSD),
Ennoconn Corporation,TaiNEX 1,Advanced Communication & Networking,K0816,,Server,2026-03
Enplas Corporation,TaiNEX 1,Components & Advanced Power Tech,I0904,,"Liquid Cooling System,AI Air Cooling / Liquid Cooling System",
Entalpic,TaiNEX 2,InnoVEX,S1216,Entalpic,Digital Transformation,
Enteligent,TaiNEX 2,InnoVEX,S0304,,,2026-03
"Envinex Technology Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K1127a,"Reach Technology,XENA Networks","Router,Wireless AP / Bridge,Network Switch,Optical Fiber",2026-03
EpiNext,TaiNEX 2,InnoVEX,S0923,,,2026-03
Epishine,TaiNEX 2,Consumer Electronic Accessories,Q0816a,,Epishine Indoor Solar Cells,
Eraytroniks Company Limited,TaiNEX 2,InnoVEX,S0925,,,
ESA BIC Czech Republic,TaiNEX 2,InnoVEX,S0224,,,2026-03
Eslitec,TaiNEX 2,InnoVEX,S1320,,,2026-03
Essencore Limited,TaiNEX 1,International,N0114,KLEVV,"Solid State Drive (SSD),Disk Enclosure,DRAM,Industrial Memory",2026-03
eten Technologies Inc.,TaiNEX 1,Advanced Communication & Networking,K1028,,Network Switch,
"Etron Technology, Inc.",TaiNEX 1,System Integration Solution,L0401a,"Etron,eYs3D,DeCloak","IC Design, Packaging & Foundry",
EUDAR TECHNOLOGY INC.,TaiNEX 2,Storage & Management Solutions,R1032,EUDAR,"Memory Card,DRAM",2026-03
Eureka Media Marketing Ltd.,TaiNEX 2,InnoVEX,S0007,,"Enterprise Software & SaaS,Generative AI & LLM",2026-03
"EVE Energy Co., Ltd.",TWTC Hall 1,ePaper Pavilion,D0517a,EVE Energy,Lithium & Li-ion Battery,2026-03
"EVERBRITE Techonlogy Co., Ltd.",TWTC Hall 1,Robotics,D0301a,,Robot,2026-03
"EVERCOOL Thermal Corp., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I1303,EVERCOOL,PC Cooling & Fan,2026-03
EverCurrent,TaiNEX 2,InnoVEX,S1014,,,2026-03
"Everidge Co., Ltd.",TaiNEX 2,InnoVEX,S0118,,"Application Software,Deep Learning Service / Device,Cloud Computing & IT Services,Business Intelligence Service,Generative AI / LLM,Network Video Recorder (NVR)",
Everiii & Partners Consultant,TaiNEX 2,InnoVEX,S0103,,Others,2026-03
EVERNEW WIRE & CABLE CO LTD,TaiNEX 1,Advanced Communication & Networking,K1331a,,Other Networking,2026-03
"Ewind Technology Co., Ltd",TaiNEX 1,Advanced Communication & Networking,K1421,,Network Switch,
"EXASCEND (Hong Kong) CO., LIMITED",TaiNEX 2,Storage & Management Solutions,R0119,,Solid State Drive (SSD),2026-03
EXCEBEST ENTERPRISE CORP.,TaiNEX 2,Consumer Electronic Accessories,Q0132,"Excebest,Humi",Other Computer Peripherals,2026-03
"EXCELLENCE WIRE IND. CO., LTD.",TaiNEX 1,Advanced Communication & Networking,K0527,EXW,Other Networking,2026-03
Exeger AB,TWTC Hall 1,ePaper Pavilion,D0132,,E-book Reader,2026-03
Exein SpA,TaiNEX 2,Industrial IoT & Embedded Systems,P0922,"Exein Analyzer, Exein Runtime","Antivirus & Security Software,IIoT Solution",
EXPRESS LUCK INDUSTRIAL (ZHONGSHAN) LIMITED,TaiNEX 1,System Integration Solution,L0529a,expressluck,All-In-One & Desktop Computer,2026-03
"Exsita Technology Co., Ltd",TaiNEX 2,Consumer Electronic Accessories,Q1234c,,"USB Adapter, Cable & Hub",2026-03
"EYS3D MICROELECTRONICS, CO.",TaiNEX 1,Smart Mobility and Drone Tech,N0814,,Automatic Guided Vehicle (AGV) System,2026-03
EZ DUPE Inc.,TaiNEX 2,Storage & Management Solutions,R1334,EZ Dupe,"Other Drives, Storage & Blank Media",2026-03
"EZBOND CHEMICAL CO., LTD.",TaiNEX 2,AI Computing & System Integration Solution,R0331a,"DOWSIL,ZYMET",Thermal Adhesive & Grease,
EZeeTech Co. | Ltd.,TaiNEX 2,InnoVEX,S1014,,,2026-03
FabiaTech Corporation,TaiNEX 2,Industrial IoT & Embedded Systems,P1407,FabiaTech,"Embedded Products,Industrial Motherboard",
FaceHeart Corporation,TaiNEX 2,InnoVEX,S0323a,,,2026-03
"Famous Computer Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,P0722,Famous,"Embedded Products,Computer Case",2026-03
FAR EAST MEDICAL ELECTRONICS TECHNOLOGY CO. | LTD.,TaiNEX 2,InnoVEX,S1208,,,2026-03
Farmio Pte. Ltd,TaiNEX 2,InnoVEX,S1320,,,2026-03
Farreach Electronics Co.Limited,TaiNEX 2,Consumer Electronic Accessories,P0129,"SKW, Farreach","KVM Cable & Switch,USB Adapter, Cable & Hub",2026-03
"Faytech Tech.Co.,Ltd.",TaiNEX 1,AI Computing & Tech,J0402,Faytech,"Industrial Computer,Human Machine Interface (HMI),Edge Computing",
Fethiann Molecule Applied Co. | Ltd.,TaiNEX 2,InnoVEX,S0923,,,2026-03
Fibocom Wireless Inc.,TaiNEX 1,Advanced Communication & Networking,K0122,,Wireless WAN Dongle/Module,
"Ficer Technology Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K0532,"Ficer,Ficer TradeMark Certificate ( Taiwan ),Ficer US TradeMark Certificate",Optical Fiber,
FiduciaEdge Technologies,TaiNEX 2,InnoVEX,S0311a,,,2026-03
FindingsTech,TaiNEX 2,InnoVEX,S0712a,,,2026-03
"FIREFLY TECHNOLOGY CO.,LTD",TaiNEX 2,Industrial IoT & Embedded Systems,P1417,,"Industrial Computer,AI Server",2026-03
"FIRST PLAYER TECHNOLOGY (GUANGZHOU) CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q1334b,,"Computer Power Supply,PC Cooling & Fan",
FITEK PHOTONICS CORPORATION,TaiNEX 1,Advanced Communication & Networking,K0521,FITEK,Communication Cable,2026-03
Fitipower Integrated Technology Inc.,TWTC Hall 1,ePaper Pavilion,D0127,,E-paper Display,2026-03
Flex,TaiNEX 1,AI Computing & Tech,J0132,Flex,"Switching Power Supply,AI Air Cooling / Liquid Cooling System ,AI Switching Power Supply ,Data Center (DC) / Cloud Service Provider (CSP) ,System Integration",
FlexTouch Technologies Co.,TWTC Hall 1,ePaper Pavilion,D0223a,,E-paper Display,
Flotrend Corporation,TaiNEX 1,AI Computing & Tech,J0427,,Industrial Software,2026-03
Fluidiconic Biotechnology co. ltd,TaiNEX 2,InnoVEX,S1014,,,2026-03
"Flytech Technology Co., Ltd.",TaiNEX 2,Intelligent Business Solutions,P0106,Flytech,"POS System,Kiosk",2026-03
FMG Biomed | Inc.,TaiNEX 2,InnoVEX,S0323a,,,2026-03
"Forcecon Tech. Co., Ltd.",TaiNEX 1,System Integration Solution,N1006,,,
ForeSense Tech,TaiNEX 2,InnoVEX,S0923,,,2026-03
Formosa Chemicals & Fibre Corporation,TWTC Hall 1,TechXperience,D0527,"TAIRILOY PC/ABS,TAIRILAC ABS,TAIRIPRO",Computer Case,
FORMOSA PLASTICS CORPORATION,TaiNEX 1,AI Computing & Tech,J1217,,,2026-03
Formosan United Corporation,TWTC Hall 1,Robotics,A0908,,,2026-03
Formula V Technology Co.,TaiNEX 1,Components & Advanced Power Tech,I0417a,"Formula V Line,ACCORDPC",Computer Case,2026-03
"Forte Weise Global Commerce Co., Limited",TaiNEX 2,InnoVEX,S1318,,,2026-03
"Foshan Dinglin Science and Technology Co., Ltd.",TaiNEX 2,InnoVEX,S0804,,,
Frameo A/S,TaiNEX 2,Consumer Electronic Accessories,Q0610a,Frameo,"Other Mobile Phone & Tablet PC Accessories,Mobile App",
"Framework Computer, INc",TaiNEX 1,System Integration Solution,N1005,Framework,,2026-03
"Friendtrol Technologies, Inc.",TaiNEX 1,System Integration Solution,L0012,,,
Frontier Technology Inc.,TaiNEX 1,Components & Advanced Power Tech,J1306,"TrendSonic,ACE POWER","Switching Power Supply,Computer Case,Computer Power Supply,PC Cooling & Fan",
Frore Systems Inc.,TaiNEX 2,Industrial IoT & Embedded Systems,P1401a,"AirJet, AirJet PAK",AI Air Cooling / Liquid Cooling System,2026-03
FS-TECH COMPANY LTD.,TaiNEX 2,AI Computing & System Integration Solution,R0824,,Image Recognition Service / Device,
FSP Technology Inc.,TaiNEX 1,AI Computing & Tech,K0305a,"FSP,全漢電源","Uninterruptible Power Supply (UPS),Switching Power Supply,AC / DC Adapter,Computer Case,Computer Power Supply",2026-03
Fu-Chen Auto Technology Corporation,TaiNEX 2,InnoVEX,S1208,,,2026-03
FuFront AI Co LTD.,TWTC Hall 1,TechXperience,A0503a,,,2026-03
"Fujian Touch-China Technology Co.,ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,P1320a,,"LCD Monitor,Touch Screen Monitor & Panel",2026-03
"Fun Lead Change CO., LTD.",,,,"Fun Lead Change CO., LTD.",,2026-03
Fusion Worldwide,TaiNEX 1,Components & Advanced Power Tech,I1330,,Other Computer Components & Parts,
Futurecom Inc,TWTC Hall 1,TechXperience,D0735a,XINERTEL,,2026-03
Futurenest Inc,TaiNEX 2,InnoVEX,S0712a,,,2026-03
"G.Skill International Enterprise Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I0818,G.SKILL,DRAM,
"Gainscha Auto ID Co., Ltd.",TaiNEX 2,Intelligent Business Solutions,P0901a,Gainscha,"Industrial Barcode Printer,Desktop Barcode Printer,RFID Printer,Thermal Receipt Printer,Thermal Mobile Printer",2026-03
"GAINWISE TECHNOLOGY CO., LTD.",TaiNEX 1,Advanced Communication & Networking,K1401,GAINWISE,,2026-03
GALA VERSE LTD. CORP. TAIWAN BRANCH (USA),TaiNEX 2,InnoVEX,S1217,,,2026-03
"Gallant Micro. Machining Co., Ltd.",TWTC Hall 1,Robotics,A0704,"GMM,GPM,G2C,志聖","IC Design, Packaging & Foundry",2026-03
"GAMANIA DIGITAL ENTERTAINMENT CO., LTD",TWTC Hall 1,TechXperience,D0814,,"Chatbot,Interactive Entertainment/ Immersive Experience/ Somatosensory Technology,Business Intelligence Service",2026-03
"Gamania Digital Entertainment Co., Ltd.",TWTC Hall 1,Robotics,A0509a,Vyin AI,,2026-03
