event,year,date,company,tickers,speaker,announcement,category,summary,key_number,metric_value,metric_unit,ship_quarter,availability,quote,confidence,video_id,video_url
COMPUTEX,2024,2024-06-04,Intel,INTC,Pat Gelsinger,Arrow Lake,cpu,"Intel committed to introducing Arrow Lake later in 2024 as its next-generation PC product after Lunar Lake. The company said it will bring AI across PC categories, beginning with desktops in Q4.",,,,2024Q4,roadmap,"And Arrow Lake is our next generation product we will introduce later this year that will enable AI to all PC categories, starting with the desktop and Q4.",0.97,5imrulocDlY,https://www.youtube.com/watch?v=5imrulocDlY
COMPUTEX,2024,2024-06-04,Intel,INTC,Pat Gelsinger,Panther Lake on Intel 18A,roadmap,Intel said Panther Lake will be built on Intel 18A and tied the product to its 2025 roadmap. The company also committed to powering on the first 18A chips from the wafer the following week.,,,,2025,roadmap,"And in 2025, it just gets better.",0.88,5imrulocDlY,https://www.youtube.com/watch?v=5imrulocDlY
COMPUTEX,2024,2024-06-04,MediaTek,2454.TW,Rick Tsai,Dimensity 9400 mobile SoC,roadmap,"MediaTek said its next flagship mobile chipset, the Dimensity 9400, will be announced in about three months. This matters as the successor to the Dimensity 9300/9300+ for on-device AI smartphones.",,3.0,months,announced in about three months,roadmap,our new trip 9400 will be announced I think in about three months about three months,0.82,wxMh8TH7OF8,https://www.youtube.com/watch?v=wxMh8TH7OF8
COMPUTEX,2024,2024-06-04,MediaTek,2454.TW;NVDA,Rick Tsai,MediaTek-Nvidia automotive cockpit/control chip,platform,MediaTek said the automotive chip it is designing with Nvidia is currently in design and will materially improve AI performance versus MediaTek's best 2024 automotive offering. The chip is intended for cockpit/control applications and is part of the companies' automotive collaboration.,5.8 Times Higher tops,5.8,x,,announced,the chip we are designing together now it is in design will give you 5.8 Times Higher tops and compared to our best 2024 offering,0.9,wxMh8TH7OF8,https://www.youtube.com/watch?v=wxMh8TH7OF8
COMPUTEX,2024,2024-06-04,MediaTek,2454.TW,Rick Tsai,MediaTek cloud AI accelerator effort,accelerator,"MediaTek committed to participating in custom silicon AI accelerators for the cloud, positioning its compute, interconnect, process, packaging, HBM and low-power ASIC capabilities for hyperscale AI infrastructure. The company framed this as a large custom accelerator market opportunity.",45 billion,45.0,USD_billion,,announced,so by 2028 this Market will have a 10 or $ 45 billion doll 45 billion is a big number,0.78,wxMh8TH7OF8,https://www.youtube.com/watch?v=wxMh8TH7OF8
COMPUTEX,2024,2024-06-04,MediaTek,2454.TW;ARM,Rick Tsai,Arm-MediaTek cloud accelerator collaboration,partnership,MediaTek said its long-running Arm partnership will extend beyond smartphones into automotive computing and cloud accelerators. This indicates Arm CPU/subsystem IP remains central to MediaTek’s expansion into AI infrastructure silicon.,over 20 years,20.0,years,,announced,MCH and arm have been working together for over 20 years a mutually winning relationship amazing achievement,0.76,wxMh8TH7OF8,https://www.youtube.com/watch?v=wxMh8TH7OF8
COMPUTEX,2024,2024-06-04,MediaTek,2454.TW,Rick Tsai,MediaTek custom networking chip,networking,MediaTek disclosed a custom networking chip already in production on a 5nm process with over 70 billion transistors and a very large package. The product demonstrates MediaTek’s high-end ASIC and networking silicon capability relevant to AI infrastructure.,over 70 billion transistors,70.0,billion_count,,shipping,we have also built a custom networking chip which is already in production with 5 nanometer process technology over 70 billion transistors near package of 91 mm by 91 mm,0.9,wxMh8TH7OF8,https://www.youtube.com/watch?v=wxMh8TH7OF8
COMPUTEX,2024,2024-06-04,MediaTek,2454.TW,Rick Tsai,224G SerDes IP with 400G roadmap,networking,"MediaTek said it has developed high-speed SerDes capability in-house, moving from 112G in 2022 to 224G in 2024, with a roadmap toward 400G and optics. This is an enabling interconnect technology for AI accelerators and data-center networking.",224 gig,224.0,Gbps,2024,roadmap,2022 we buil 112g through this capability now 2024 we're doing 224 here,0.86,wxMh8TH7OF8,https://www.youtube.com/watch?v=wxMh8TH7OF8
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,NVIDIA NIM inference microservices,software,"NVIDIA positioned NIMs as packaged, optimized inference microservices that bundle model runtime, CUDA stack, APIs, management and cloud-native deployment. This matters because it turns complex generative AI model serving into reusable containers deployable across clouds, data centers and PCs.",400 dependencies,400.0,count,,announced,all of the software is now integrated 400 dependencies all integrated into one,0.94,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,Llama 3 NIM on Hugging Face,software,"NVIDIA said it posted a fully optimized Llama 3 NIM on Hugging Face for users to try, download and deploy. This is a concrete availability step for NIM adoption around a leading open model.",,,,,GA,today we uh just posted up in hugging face the Llama 3 Nim fully optimized it's available there for you to try and you can even take it with you,0.93,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA;TSM,Jensen Huang,Blackwell GPU platform in production,gpu,"NVIDIA said Blackwell is now in production, highlighting the production board with Grace CPU and dual Blackwell dies connected by a high-bandwidth link. Blackwell is the company’s next AI training and inference platform for large generative-AI models and AI factories.",10 terabyte per second link,10.0,TB/s,,shipping,this is Blackwell black black well is in production incredible amounts of Technology this is our production board,0.95,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,DGX Blackwell air-cooled system,server,NVIDIA announced an air-cooled DGX Blackwell system with eight Blackwell GPUs designed to fit infrastructure used for Hopper deployments and support x86. This matters for customers that want Blackwell upgrades without moving immediately to liquid cooling.,,8.0,count,,announced,so this is a dgx Blackwell this has this is air cooled has eight of these gpus inside,0.92,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,MGX liquid-cooled Blackwell 72-GPU system,server,"NVIDIA announced a liquid-cooled MGX modular Blackwell system that connects 72 GPUs into one large GPU domain. The system is designed for much larger AI models by scaling GPU memory, bandwidth and FLOPS at rack scale.",72 of these gpus,72.0,count,,announced,72 of these gpus 72 of these G gpus are then connected together with a new MV link,0.94,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,Fifth-generation NVLink Switch,networking,NVIDIA detailed its fifth-generation NVLink Switch for tying Blackwell GPUs together inside large GPU domains. The switch integrates high-bandwidth connectivity and on-switch math for deep-learning reductions.,50 billion transistors,50000000000.0,count,,announced,mvlink switch in itself is a technology Miracle it's 50 billion transistors 74 ports at 400 gbits each four lengths cross-sectional bandwidth of 7 7.2 terabytes per second,0.94,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,Spectrum-X800 Ethernet AI networking,networking,"NVIDIA announced Spectrum-X800 as an Ethernet networking product for AI factories, bringing InfiniBand-like capabilities such as RDMA, congestion control, adaptive routing and noise isolation to Ethernet. It is positioned for tens of thousands of GPUs.",51.2 terabits per second,51.2,Tbps,,announced,this is Spectrum x800 it is uh 51.2 terabits per second and 256 Radix,0.92,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,Spectrum-X800 Ultra,networking,"NVIDIA committed to a next Spectrum-X800 Ultra Ethernet switch generation, aimed at scaling AI Ethernet from tens of thousands to hundreds of thousands of GPUs. It is part of a one-year cadence for networking products.",512 Ric,512.0,count,2025,roadmap,the next one coming is 512 Ric is one year from now 512 Ric and that's called Spectrum x800 Ultra,0.88,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,Spectrum-X1600,networking,NVIDIA disclosed Spectrum-X1600 as a future Ethernet switch generation for million-GPU data centers. This is a roadmap signal for very large AI-factory scale-out networking.,,,count,,roadmap,x800 ultra is designed for hundreds of thousands of gpus and x1600 is designed for millions of gpus,0.87,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,Blackwell Ultra,roadmap,"NVIDIA committed to Blackwell Ultra as the next annual upgrade after Blackwell, analogous to the prior H100-to-H200 cadence. It reinforces the company’s stated one-year platform rhythm.",,,,2025,roadmap,while Blackwell is here next year is Blackwell Ultra just as we had h100 and h200,0.9,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,Rubin platform,roadmap,NVIDIA disclosed Rubin as the next-generation platform after Blackwell Ultra. The company said the platform’s chips are already in full development and architecturally compatible with its software stack.,,,,,roadmap,our next Generation platform is called Reuben the Reuben platform,0.91,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,Rubin Ultra platform,roadmap,NVIDIA also disclosed Rubin Ultra as the follow-on platform one year after Rubin. This extends the company’s annual data-center platform roadmap beyond Blackwell.,,,,one year after Rubin,roadmap,so we have the rubben platform and one year later we have the Ruben um Ultra platform,0.89,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,Jetson Thor robotic supercomputer,platform,"NVIDIA named Jetson Thor as the next-generation robotic supercomputer for running physical-AI models in robots. It is part of the company’s three-computer robotics architecture spanning training, simulation and deployment.",,,,,roadmap,Nvidia Jets and orend and Next Generation Jetson Thor robotic supercomputer to run the models,0.83,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,NVIDIA robotics platform suite,platform,"NVIDIA committed to creating dedicated platforms for multiple classes of robotic systems, including warehouses, manipulators, mobile robots and humanoids. The platforms combine computers, acceleration libraries and pretrained models for physical AI.",,4.0,count,,announced,the first we're going to create platforms for each type of robotic systems one for robotic factories and warehouses one for robots that manipulate things one for robots that move and one for uh robots that are humanoid,0.9,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA;SIEGY,Jensen Huang,Siemens integration with NVIDIA Isaac Manipulator and Omniverse,partnership,NVIDIA announced an integration with Siemens connecting NVIDIA Manipulator and Omniverse to Siemens industrial automation software. The partnership targets factory automation workflows and robotic manipulation deployments.,,,,,announced,we've connected Nvidia manipulator and Nvidia Omniverse with seens the world's leading Industrial Automation software and systems company,0.86,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,NVIDIA DRIVE production roadmap with Mercedes and JLR,partnership,NVIDIA committed that its autonomous-driving stack will go into production with Mercedes next year and JLR in 2026. This is a concrete automotive deployment roadmap for NVIDIA’s robotics and autonomous-vehicle platform.,2026,2026.0,year,Mercedes 2025; JLR 2026,roadmap,next year we're going to go to production with the Mercedes Fleet and after that in 2026 the jlr Fe Fleet,0.9,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,Blackwell production board,gpu,"NVIDIA showed the Blackwell production board, emphasizing the two-die GPU package connected by a very high-bandwidth link and its role as the next AI training and inference platform. The production status is important because it moves Blackwell from prototype toward volume deployment.",10 terabyte per second link,10.0,TB/s,,shipping,this is Blackwell black black well is in production incredible amounts of Technology this is our production board,0.91,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,MGX liquid-cooled Blackwell rack,server,NVIDIA introduced a modular MGX liquid-cooled Blackwell system that links 72 GPUs into one NVLink domain. This matters because it scales Blackwell from nodes into rack-scale AI computers for very large models.,72 of these gpus,72.0,count,,announced,72 of these 72 of these gpus 72 of these G gpus are then connected together with a new MV link,0.94,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,Spectrum-X800 Ethernet switch,networking,"NVIDIA announced Spectrum-X800 as part of its AI Ethernet roadmap, bringing InfiniBand-like capabilities to Ethernet for AI factories. The product targets clusters of tens of thousands of GPUs.",51.2 terabits per second,51.2,Tb/s,,announced,this is Spectrum x800 it is uh 51.2 terabits per second and 256 Radix,0.93,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA;SIEGY,Jensen Huang,NVIDIA Isaac Manipulator and Omniverse integration with Siemens,partnership,"NVIDIA announced an integration of Isaac Manipulator and Omniverse with Siemens industrial automation software and systems. This matters for factory robotics workflows that connect simulation, robot programming and deployment.",,,,,announced,we've connected Nvidia manipulator and Nvidia Omniverse with seens the world's leading Industrial Automation software and systems company,0.88,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA;GOOGL,Jensen Huang,Google Colab cuDF accelerated pandas,partnership,NVIDIA highlighted that Google put cuDF in Colab to accelerate pandas workflows with one-click access. This matters because pandas is a broadly used data-science library and gives CUDA acceleration a mainstream cloud entry point.,10 million data scientists,10000000.0,count,,GA,well just last week Google announced that they've put CDF in the cloud and accelerate pandas pandas is the most popular data science library in the world,0.86,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA;TSM,Jensen Huang,TSMC Kitho production deployment,partnership,NVIDIA said TSMC is moving Kitho computational lithography into production to accelerate mask-making workloads. This is a concrete semiconductor-manufacturing software deployment with energy and cost implications.,,,,,shipping,tsmc is in the process of going to production with kitho saving enormous amounts of energy and more enormous amounts of money,0.87,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,Mercedes fleet production on NVIDIA Drive,partnership,NVIDIA committed that its Drive stack will go into production with the Mercedes fleet next year. This is a concrete automotive robotics deployment milestone.,,,,2025,roadmap,next year we're going to go to production with the Mercedes Fleet and after that in 2026 the jlr Fe Fleet,0.9,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA,Jensen Huang,JLR fleet production on NVIDIA Drive,partnership,NVIDIA committed that its Drive stack will go into production with the JLR fleet in 2026. This extends NVIDIA’s automotive autonomy roadmap beyond Mercedes.,,,,2026,roadmap,next year we're going to go to production with the Mercedes Fleet and after that in 2026 the jlr Fe Fleet,0.9,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-02,NVIDIA,NVDA;2317.TW,Jensen Huang,Foxconn robotic factory digital twin for NVIDIA AI supercomputers,partnership,"NVIDIA showcased Foxconn using Omniverse, Isaac and Metropolis to build robotic factories for NVIDIA accelerated computing demand. This is a concrete AI-factory manufacturing partnership linking digital twins, robotics and AI server production.",,,,,announced,foxcon the world's largest electronics manufacturer is gearing up to meet this Demand by building robotic factories with Nvidia Omniverse and AI,0.86,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU
COMPUTEX,2024,2024-06-03,Qualcomm,QCOM;2353.TW;2357.TW;DELL;HPQ;MSFT,Cristiano Amon,Snapdragon X Elite / X Plus Copilot+ PC first wave,platform,Qualcomm said the first wave of Copilot+ PCs powered by Snapdragon X Elite and Snapdragon X Plus spans 22 devices across major OEMs. This matters because it establishes broad initial ecosystem support for Windows on Arm AI PCs rather than a single flagship device.,22 co-pilot plus PCs,22.0,count,2024Q2 (June 18),announced,22 co-pilot plus PCs powered by Sniper Dragon X Elite and Snapdragon X Plus.,0.9,5R3QpKMciEw,https://www.youtube.com/watch?v=5R3QpKMciEw
COMPUTEX,2024,2024-06-03,Qualcomm,QCOM,Cristiano Amon,Snapdragon X Elite NPU,npu,Qualcomm highlighted the Snapdragon X Elite NPU as the AI engine enabling Copilot+ PC features on-device. The claimed 45 TOPS laptop NPU performance is central to Qualcomm's differentiation in AI PCs.,45 tops,45.0,TOPS,2024Q2 (June 18),GA,So with Snapdragon X Elite we're delivering the world's fastest NPU for laptops at 45 tops but it has also the leading performance per watt.,0.95,5R3QpKMciEw,https://www.youtube.com/watch?v=5R3QpKMciEw
COMPUTEX,2024,2024-06-03,Qualcomm,QCOM,Cristiano Amon,Qualcomm AI Hub for PCs,software,"Qualcomm announced AI Hub support for PCs, offering pre-optimized AI models that developers can deploy or adapt for Snapdragon-powered devices. This matters because it lowers the barrier for developers to create on-device AI applications for Copilot+ PCs.",over a 100 pre-optimized AI models,100.0,count,,announced,The Qualcomm AI hub has over a 100 pre-optimized AI models ready to be deployed.,0.92,5R3QpKMciEw,https://www.youtube.com/watch?v=5R3QpKMciEw
COMPUTEX,2024,2024-06-03,Qualcomm,QCOM,Cristiano Amon,Snapdragon Development Kit for Windows,platform,"Qualcomm launched a Snapdragon development kit for Windows, aimed at helping developers build and optimize apps for Snapdragon X and Copilot+ PCs. Availability aligns with the June 18 commercial launch window.",,,,2024Q2 (June 18),announced,And [snorts] when we talk about accelerating uh development uh we also launch the Snapdragon development kit for Windows.,0.9,5R3QpKMciEw,https://www.youtube.com/watch?v=5R3QpKMciEw
COMPUTEX,2024,2024-06-03,Qualcomm,QCOM;MSFT,Cristiano Amon,Microsoft Surface Pro and Surface Laptop with Snapdragon X,partnership,Microsoft announced new Surface Pro and Surface Laptop models powered by Snapdragon X series processors. This is strategically important because Surface is Microsoft's own flagship hardware line for the Copilot+ PC transition.,,,,2024Q2 (June 18),announced,We have a new Surface Pro and a new Surface laptop powered by the Snapdragon X series available for pre-order now.,0.9,5R3QpKMciEw,https://www.youtube.com/watch?v=5R3QpKMciEw
COMPUTEX,2024,2024-06-03,Qualcomm,QCOM;2353.TW,Cristiano Amon,Acer Swift Snapdragon X Copilot+ PC,partnership,Acer introduced a Snapdragon X-powered Copilot+ PC in its Swift laptop line with a claimed long video-playback battery life. This adds another top-tier Windows OEM to Qualcomm's initial AI PC lineup.,up to 26 hours of video playback,26.0,hours,,announced,This product will be up to 26 hours of video playback 14.5 inch touchscreen and exclusive Acer AI apps including audio video conference whatever the previous all previous uh speaker talk about we have them all and ASA is focused on evolving the user experience for PC usage model.,0.82,5R3QpKMciEw,https://www.youtube.com/watch?v=5R3QpKMciEw
COMPUTEX,2024,2024-06-03,Qualcomm,QCOM;DELL,Cristiano Amon,Dell Snapdragon X AI PC portfolio,partnership,"Dell announced five new AI PCs powered by Snapdragon X series processors, including an XPS 13 configuration. This expands Qualcomm's footprint into Dell's consumer and business PC portfolio.",,5.0,count,,announced,Uh we have built a comprehensive portfolio of AI PCs from gaming uh premium consumer PCs to mainstream business laptops uh powerful workstations and we just added five new AIPCs powered by Snapdragon X series processors.,0.92,5R3QpKMciEw,https://www.youtube.com/watch?v=5R3QpKMciEw
COMPUTEX,2024,2024-06-03,Qualcomm,QCOM;DELL,Cristiano Amon,Dell XPS 13 with Snapdragon X Elite,partnership,"Dell highlighted its Snapdragon X Elite-based XPS 13 as a thin, light Copilot+ PC with multi-day battery life. Dell also positioned it as capable of running large AI models locally.",up to 27 hours streaming,27.0,hours,,announced,"If you take a look at our XPS 13, our thinnest, lightest XPS now delivers multi-day battery life with what we believe will be an industry-leading up to 27 hours streaming.",0.9,5R3QpKMciEw,https://www.youtube.com/watch?v=5R3QpKMciEw
COMPUTEX,2024,2024-06-03,Qualcomm,QCOM,Cristiano Amon,Samsung Galaxy Book4 Edge,partnership,Samsung announced the Galaxy Book4 Edge as a Snapdragon-powered AI PC bringing Galaxy AI features into the PC category. This matters because it ties Qualcomm's PC push to Samsung's broader Galaxy AI ecosystem.,,,,,announced,"As we have done with the Galaxy S24 series, the world's first AI phone, we take our next leap together in PC with the Galaxy Book 4 Edge.",0.88,5R3QpKMciEw,https://www.youtube.com/watch?v=5R3QpKMciEw
COMPUTEX,2024,2024-06-03,Qualcomm,QCOM,Cristiano Amon,Lenovo ThinkPad T14S Gen 6 and Yoga Slim 7X with Snapdragon X Elite,partnership,Lenovo announced two premium AI laptops powered by Snapdragon X Elite: ThinkPad T14S Gen 6 for commercial productivity and Yoga Slim 7X for creators. The launch broadens Snapdragon X into Lenovo's business and consumer premium PC lines.,,2.0,count,,announced,Two premium Lenovo AI laptops powered by the Snapdragon X Elite.,0.9,5R3QpKMciEw,https://www.youtube.com/watch?v=5R3QpKMciEw
COMPUTEX,2024,2024-06-03,Qualcomm,QCOM,Cristiano Amon,Lenovo AI Now and Creator Zone on Yoga Slim 7X,software,"Lenovo announced local AI experiences for the Yoga Slim 7X, including AI Now as a native language agent and Creator Zone for on-device image generation. This matters as an example of OEM-specific AI software layered on Snapdragon X hardware.",,,,,announced,"First, let me introduce Lenovo AI.",0.78,5R3QpKMciEw,https://www.youtube.com/watch?v=5R3QpKMciEw
COMPUTEX,2024,2024-06-03,Qualcomm,QCOM;MSFT;EA;RBLX;NTES,Cristiano Amon,Snapdragon X Elite gaming optimization program,software,"Qualcomm committed to testing and optimizing a large library of games for Snapdragon X Elite Windows PCs, including AAA titles and major game publishers. This is important because gaming compatibility is a key hurdle for Windows on Arm adoption.","more than 1,200 games",1200.0,count,,announced,"There's more than 1,200 games.",0.86,5R3QpKMciEw,https://www.youtube.com/watch?v=5R3QpKMciEw
COMPUTEX,2024,2024-06-05,Supermicro,SMCI;INTC,Charles Liang,X14 Intel Xeon 6 server platforms,server,"Supermicro announced its X14 server platforms optimized for Intel Xeon 6, initially Sierra Forest-based with Granite Rapids platforms coming soon. This refresh positions Supermicro for higher-performance AI and data-center deployments alongside next-generation Intel CPUs.",,,,,announced,we have just launched our new optimiz x14 Intel gon 6 siaro Forest space and soon BR line rapid base platforms,0.76,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA
COMPUTEX,2024,2024-06-05,Supermicro,SMCI;AMD,Charles Liang,H14 AMD Turin server platforms,server,Supermicro said its H14 AMD Gen 5 Turin-based systems are ready for early deployment. The platform extends Supermicro’s server roadmap to AMD’s next-generation CPU ecosystem for AI and data-center workloads.,,,,,sampling,h14 AMD Gen 5 touring base solution is also ready for early deployment now,0.8,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA
COMPUTEX,2024,2024-06-05,Supermicro,SMCI;NVDA,Charles Liang,Direct Liquid Cooling rack-scale solution mass production,platform,Supermicro announced its direct liquid cooling rack-scale data-center solution is in volume production and shipping now. The company frames DLC as a way to reduce power and facility costs for AI factories while enabling higher rack density.,"1,000 RS per month",1000.0,racks/month,,shipping,"currently we are able to ship 1,000 RS or our industry based D solution per month as of right now",0.88,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA
COMPUTEX,2024,2024-06-05,Supermicro,SMCI,Charles Liang,Two-week rapid delivery for liquid-cooled racks,roadmap,Supermicro committed to extending its rapid rack delivery model to liquid-cooled rack solutions at scale. This matters because deployment lead time has been a major adoption barrier for DLC data centers.,,2.0,weeks,,announced,now we're extending that same promise of two weeks to liquid cooling rack Solutions delivered at scale,0.87,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA
COMPUTEX,2024,2024-06-05,Supermicro,SMCI,Charles Liang,DLC adoption target,roadmap,Supermicro set a target for its DLC solutions to be used in a significant share of new global data-center development. The commitment signals an aggressive push to make liquid cooling mainstream for AI infrastructure.,15%,15.0,%,next 12 months,roadmap,we are targeting 15% of the global new data center development will be using our DLC Solutions in the next 12 months and hopefully up to 30% in the following years,0.9,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA
COMPUTEX,2024,2024-06-05,Supermicro,SMCI,Charles Liang,DLC AI data-center operating-cost savings commitment,platform,"Supermicro quantified the operating-cost benefit of its DLC approach for a midsize LLM data center, saying it can materially reduce OpEx versus air cooling. This is a concrete economic claim meant to accelerate liquid-cooling adoption.",up to 40%,40.0,%,,announced,due to low energy consumption by less air condition by less air condition thec saving on OPAC can be up to 40% achieving up to $60 million over five years depending on location,0.85,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA
COMPUTEX,2024,2024-06-05,Supermicro,SMCI,Charles Liang,DLC rack density increase,platform,Supermicro said its DLC rack solution supports much higher rack power density than typical air-cooled data centers. Higher density is central to scaling AI clusters where power and space are constrained.,80 to 100 K peret,100.0,kW/rack,,shipping,as a typical air cool data center like Maxim my out with 20 or 30 K1 super mic DLC solution can be 80 to 100 K peret right now,0.72,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA
COMPUTEX,2024,2024-06-05,Supermicro,SMCI,Charles Liang,DLC rack-scale power savings,platform,Supermicro stated that moving from traditional air-cooled systems to direct liquid cooling can produce meaningful power savings for generative AI deployments. The figure supports the company’s economic case for DLC infrastructure.,33% power savings,33.0,%,,announced,by switching to direct to Li liquid cooling from traditional air cooled configurations our customers are enjoying 33% power savings and that's huge,0.9,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA
COMPUTEX,2024,2024-06-05,Supermicro,SMCI,Charles Liang,DLC water tower and cooling loop solution,platform,"Supermicro announced a broader rack-scale DLC solution including water tower infrastructure and management, designed to dissipate most rack heat through liquid cooling. This expands the deliverable beyond servers into data-center thermal infrastructure.",up to 90%,90.0,%,,announced,our DLC Solutions efficiently utilize one wat up to 45 de C to dissipate heat up to 90% of the heat generated by rack through liquid cooling,0.84,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA
COMPUTEX,2024,2024-06-05,Supermicro,SMCI,Charles Liang,SuperCloud Composer DLC monitoring update,software,Supermicro announced an updated SuperCloud Composer software capability to monitor full liquid-cooled AI data-center infrastructure from GPUs through cooling towers. This adds management software around its rack-scale DLC offering.,,,,,announced,our latest iteration is going to allow you in one single panel to look at monitor your entire data center from the chips in each one of these gpus with sensors all the way down to our liquid cooling tower all in one pan of glass,0.82,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA
COMPUTEX,2024,2024-06-05,Supermicro,SMCI;NVDA;AMD;INTC,Charles Liang,32-GPU AI rack,server,"Supermicro showed a 32-GPU AI rack designed for accelerator flexibility across Nvidia, AMD, and Intel options and deployable in air-cooled or liquid-cooled environments. The product broadens Supermicro’s rack-scale AI infrastructure offering beyond a single accelerator vendor.",32 GPU,32.0,count,,announced,this is actually built for versatility a 32 GPU rack now it can support the Nvidia h20s like we have configured here or you may choose to go with the AMD Mi 300X or even Intel gudy,0.86,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA
COMPUTEX,2024,2024-06-05,Supermicro,SMCI;INTC;NVDA,Charles Liang,X14 Hyper compact edge AI system,server,"Supermicro announced its X14 Hyper compact edge AI system for inferencing workloads. It supports up to three double-width GPUs, targeting retail, virtualization, self-checkout, and security use cases.",,3.0,count,,announced,our new x14 hyper compact system support AI inferencing by integrating up to three double with gpus,0.84,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA
COMPUTEX,2024,2024-06-05,Supermicro,SMCI,Charles Liang,Outdoor Edge IP65 systems,server,Supermicro announced Outdoor Edge systems for ruggedized edge AI and telco environments. The systems are designed to resist water and dust and operate across a wide temperature range while supporting high-core-count CPUs and enterprise GPUs.,ip65 rating,65.0,IP,,announced,we have our Outdoor Edge systems with the ip65 rating prevent water and dust challenged running in the wide temperatures lower minus 47° C up to the 47th degrees as well,0.82,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA
